instrucao,eleitores
ensino fundamental incompleto,2
ensino superior completo,7
ensino superior completo,1
ensino superior completo,2
ensino superior incompleto,1
ensino superior completo,18
ensino medio incompleto,3
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino fundamental incompleto,4
ensino medio completo,5
le e escreve,1
ensino fundamental completo,2
ensino superior completo,1
analfabeto,1
ensino superior completo,2
le e escreve,3
ensino medio incompleto,5
ensino fundamental completo,1
ensino medio completo,4
le e escreve,2
analfabeto,1
ensino medio completo,1
ensino superior completo,3
ensino medio completo,10
ensino medio incompleto,2
ensino superior incompleto,1
le e escreve,1
ensino superior completo,6
ensino superior completo,2
ensino fundamental completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,2
le e escreve,1
ensino superior completo,6
ensino superior completo,2
analfabeto,1
ensino medio incompleto,1
ensino medio completo,1
ensino superior completo,1
ensino fundamental incompleto,2
ensino medio incompleto,1
ensino medio completo,1
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino medio completo,1
ensino fundamental completo,1
le e escreve,1
ensino superior completo,2
ensino fundamental incompleto,1
le e escreve,1
ensino fundamental completo,1
ensino fundamental completo,1
ensino fundamental incompleto,2
ensino medio incompleto,6
le e escreve,3
ensino medio completo,2
ensino medio completo,3
ensino superior completo,1
ensino fundamental incompleto,2
ensino medio incompleto,7
ensino fundamental incompleto,3
ensino fundamental incompleto,1
ensino superior incompleto,2
ensino fundamental incompleto,1
ensino medio completo,3
ensino superior incompleto,2
ensino medio completo,1
ensino superior completo,2
le e escreve,3
ensino superior completo,3
ensino fundamental incompleto,1
le e escreve,2
ensino superior completo,1
ensino superior completo,1
ensino superior completo,4
ensino superior completo,1
ensino superior completo,6
le e escreve,3
ensino fundamental incompleto,1
ensino superior completo,7
ensino superior incompleto,3
ensino medio completo,3
ensino medio completo,5
ensino superior incompleto,2
ensino superior completo,11
ensino superior completo,2
ensino fundamental incompleto,1
ensino superior completo,2
ensino fundamental completo,1
ensino superior completo,2
ensino superior completo,1
ensino superior completo,2
le e escreve,3
ensino medio incompleto,1
ensino fundamental incompleto,6
ensino fundamental completo,1
ensino superior completo,5
ensino medio incompleto,1
ensino superior incompleto,1
ensino medio completo,2
ensino superior incompleto,5
ensino medio completo,2
ensino superior completo,3
analfabeto,1
ensino medio completo,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino superior completo,1
ensino medio completo,5
ensino superior completo,3
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino superior completo,1
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,4
ensino medio completo,1
ensino fundamental incompleto,2
ensino superior incompleto,2
ensino medio incompleto,11
ensino superior incompleto,2
ensino superior completo,4
ensino superior completo,1
le e escreve,1
ensino fundamental completo,1
ensino medio completo,2
ensino superior completo,9
ensino fundamental completo,1
ensino medio completo,1
le e escreve,1
ensino fundamental completo,1
ensino superior incompleto,2
ensino superior completo,2
ensino superior completo,7
ensino medio completo,2
ensino superior incompleto,2
ensino superior completo,5
ensino superior completo,5
ensino medio completo,2
ensino fundamental completo,1
ensino superior completo,6
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,15
analfabeto,1
ensino medio completo,3
ensino medio completo,3
ensino medio incompleto,1
ensino superior completo,1
ensino medio incompleto,1
ensino superior completo,7
ensino medio completo,1
ensino medio completo,1
ensino superior incompleto,16
ensino fundamental incompleto,1
analfabeto,1
ensino medio incompleto,16
le e escreve,1
ensino superior completo,11
ensino medio completo,1
ensino medio incompleto,1
ensino medio completo,2
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio incompleto,6
ensino fundamental completo,1
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,1
ensino fundamental completo,3
ensino superior completo,1
ensino superior completo,1
ensino medio completo,3
ensino superior completo,1
ensino medio incompleto,1
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,4
ensino superior completo,17
ensino medio incompleto,16
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,2
ensino superior completo,2
ensino medio completo,2
ensino superior incompleto,1
ensino fundamental completo,3
ensino superior completo,1
ensino fundamental incompleto,1
ensino superior completo,2
ensino superior incompleto,6
ensino medio completo,1
ensino superior incompleto,4
ensino fundamental incompleto,2
ensino superior completo,2
ensino medio completo,2
le e escreve,1
le e escreve,1
le e escreve,1
ensino superior completo,1
ensino superior incompleto,1
ensino medio completo,3
ensino medio incompleto,1
ensino medio completo,1
ensino fundamental incompleto,2
ensino superior completo,4
ensino medio incompleto,1
ensino superior completo,2
ensino superior incompleto,3
ensino fundamental incompleto,3
ensino superior incompleto,2
ensino superior completo,1
ensino superior completo,1
ensino medio completo,2
ensino medio completo,1
ensino superior incompleto,3
ensino medio completo,1
le e escreve,1
,2
ensino fundamental incompleto,6
ensino medio completo,1
ensino superior completo,4
ensino fundamental completo,1
ensino medio incompleto,3
ensino superior completo,3
ensino superior incompleto,2
ensino fundamental completo,2
ensino medio incompleto,2
ensino medio completo,2
ensino superior incompleto,1
ensino medio incompleto,6
analfabeto,1
ensino fundamental completo,2
ensino fundamental completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino superior completo,1
ensino superior completo,3
ensino superior completo,1
ensino superior completo,1
ensino fundamental completo,1
ensino medio incompleto,3
ensino medio incompleto,1
